Results for:,COPPER,Extension mm,Force N,eng_Stress,eng_Strain,True_stress,True_strain,log sigma,log strain
Curves for Specimen No:,1,,,,,,,,
Curve No:,1,0,0,0,0,0,0,,
,,1.296,4732.5,267.0282527,0.05184,280.8709974,0.050541011,,
,,1.3,4725,266.6050701,0.052,280.4685337,0.050693114,,
,,1.304,4725,266.6050701,0.05216,280.5111905,0.050845194,,
,,1.308,4717.5,266.1818874,0.05232,280.1085238,0.050997251,,
,,1.312,4717.5,266.1818874,0.05248,280.1511129,0.051149284,,
,,1.316,4710,265.7587048,0.05264,279.748243,0.051301294,,
,,1.32,4710,265.7587048,0.0528,279.7907644,0.051453282,,
,,1.324,4710,265.7587048,0.05296,279.8332858,0.051605246,,
,,1.328,4702.5,265.3355221,0.05312,279.4301451,0.051757187,,
,,1.332,4702.5,265.3355221,0.05328,279.4725987,0.051909105,,
,,1.336,4695,264.9123395,0.05344,279.0692549,0.052061,,
,,1.34,4695,264.9123395,0.0536,279.1116409,0.052212871,,
,,1.344,4695,264.9123395,0.05376,279.1540268,0.05236472,,
,,1.348,4695,264.9123395,0.05392,279.1964128,0.052516546,,
,,1.352,4695,264.9123395,0.05408,279.2387988,0.052668349,,
,,1.356,4687.5,264.4891568,0.05424,278.8350487,0.052820128,,
,,1.36,4680,264.0659742,0.0544,278.4311632,0.052971885,,
,,1.364,4680,264.0659742,0.05456,278.4734137,0.053123618,,
,,1.368,4672.5,263.6427915,0.05472,278.0693251,0.053275329,,
,,1.372,4672.5,263.6427915,0.05488,278.1115079,0.053427016,,
,,1.376,4665,263.2196089,0.05504,277.7072161,0.053578681,,
,,1.38,4665,263.2196089,0.0552,277.7493313,0.053730322,,
,,1.384,4665,263.2196089,0.05536,277.7914464,0.053881941,,
,,1.388,4657.5,262.7964262,0.05552,277.3868838,0.054033536,,
,,1.392,4657.5,262.7964262,0.05568,277.4289312,0.054185109,,
,,1.396,4650,262.3732436,0.05584,277.0241655,0.054336659,,
,,1.4,4650,262.3732436,0.056,277.0661452,0.054488185,,
,,1.404,4650,262.3732436,0.05616,277.1081249,0.054639689,,
,,1.408,4642.5,261.9500609,0.05632,276.7030884,0.05479117,,
,,1.412,4642.5,261.9500609,0.05648,276.7450004,0.054942627,,
,,1.416,4635,261.5268783,0.05664,276.3397607,0.055094062,,
,,1.42,4635,261.5268783,0.0568,276.381605,0.055245474,,
,,1.424,4635,261.5268783,0.05696,276.4234493,0.055396863,,
,,1.428,4627.5,261.1036956,0.05712,276.0179387,0.055548229,,
,,1.432,4627.5,261.1036956,0.05728,276.0597153,0.055699572,,
,,1.436,4620,260.680513,0.05744,275.6540016,0.055850893,,
,,1.44,4620,260.680513,0.0576,275.6957105,0.05600219,,
,,1.444,4620,260.680513,0.05776,275.7374194,0.056153465,,
,,1.448,4612.5,260.2573303,0.05792,275.3314349,0.056304716,,
,,1.452,4612.5,260.2573303,0.05808,275.3730761,0.056455945,,
,,1.456,4605,259.8341477,0.05824,274.9668884,0.056607151,,
,,1.46,4605,259.8341477,0.0584,275.0084619,0.056758334,,
,,1.464,4605,259.8341477,0.05856,275.0500354,0.056909494,,
,,1.468,4597.5,259.410965,0.05872,274.6435769,0.057060631,,
,,1.472,4597.5,259.410965,0.05888,274.6850826,0.057211746,,
,,1.476,4590,258.9877824,0.05904,274.278421,0.057362837,,
,,1.48,4582.5,258.5645997,0.0592,273.871624,0.057513906,,
,,1.484,4575,258.1414171,0.05936,273.4646916,0.057664952,,
,,1.488,4575,258.1414171,0.05952,273.5059942,0.057815975,,
,,1.492,4575,258.1414171,0.05968,273.5472968,0.057966976,,
,,1.496,4567.5,257.7182344,0.05984,273.1400936,0.058117953,,
,,1.5,4567.5,257.7182344,0.06,273.1813285,0.058268908,,
,,1.504,4567.5,257.7182344,0.06016,273.2225634,0.05841984,,
,,1.508,4560,257.2950518,0.06032,272.8150893,0.058570749,,
,,1.512,4560,257.2950518,0.06048,272.8562565,0.058721636,,
,,1.516,4560,257.2950518,0.06064,272.8974237,0.0588725,,
,,1.52,4552.5,256.8718691,0.0608,272.4896788,0.05902334,,
,,1.524,4545,256.4486865,0.06096,272.0817984,0.059174159,,
,,1.528,4545,256.4486865,0.06112,272.1228302,0.059324954,,
,,1.532,4545,256.4486865,0.06128,272.163862,0.059475727,,
,,1.536,4537.5,256.0255038,0.06144,271.7557108,0.059626477,,
,,1.54,4537.5,256.0255038,0.0616,271.7966748,0.059777204,,
,,1.544,4537.5,256.0255038,0.06176,271.8376389,0.059927909,,
,,1.548,4530,255.6023212,0.06192,271.4292169,0.06007859,,
,,1.552,4530,255.6023212,0.06208,271.4701133,0.06022925,,
,,1.556,4530,255.6023212,0.06224,271.5110096,0.060379886,,
,,1.56,4522.5,255.1791385,0.0624,271.1023167,0.0605305,,
,,1.564,4515,254.7559559,0.06256,270.6934885,0.060681091,,
,,1.568,4515,254.7559559,0.06272,270.7342494,0.060831659,,
,,1.572,4515,254.7559559,0.06288,270.7750104,0.060982205,,
,,1.576,4507.5,254.3327732,0.06304,270.3659112,0.061132728,,
,,1.58,4507.5,254.3327732,0.0632,270.4066045,0.061283228,,
,,1.584,4507.5,254.3327732,0.06336,270.4472977,0.061433706,,
,,1.588,4500,253.9095906,0.06352,270.0379277,0.061584161,,
,,1.592,4500,253.9095906,0.06368,270.0785533,0.061734594,,
,,1.596,4492.5,253.4864079,0.06384,269.6689802,0.061885004,,
,,1.6,4485,253.0632253,0.064,269.2592717,0.062035391,,
,,1.604,4485,253.0632253,0.06416,269.2997618,0.062185756,,
,,1.608,4477.5,252.6400426,0.06432,268.8898501,0.062336098,,
,,1.612,4470,252.2168599,0.06448,268.4798031,0.062486417,,
,,1.616,4470,252.2168599,0.06464,268.5201578,0.062636714,,
,,1.62,4462.5,251.7936773,0.0648,268.1099076,0.062786988,,
,,1.624,4462.5,251.7936773,0.06496,268.1501946,0.06293724,,
,,1.628,4462.5,251.7936773,0.06512,268.1904816,0.063087469,,
,,1.632,4462.5,251.7936773,0.06528,268.2307686,0.063237675,,
,,1.636,4455,251.3704946,0.06544,267.8201798,0.063387859,,
,,1.64,4455,251.3704946,0.0656,267.8603991,0.063538021,,
,,1.644,4447.5,250.947312,0.06576,267.4496072,0.06368816,,
,,1.648,4440,250.5241293,0.06592,267.03868,0.063838276,,
,,1.652,4440,250.5241293,0.06608,267.0787638,0.06398837,,
,,1.656,4432.5,250.1009467,0.06624,266.6676334,0.064138441,,
,,1.66,4432.5,250.1009467,0.0664,266.7076496,0.06428849,,
,,1.664,4432.5,250.1009467,0.06656,266.7476657,0.064438516,,
,,1.668,4425,249.677764,0.06672,266.3362645,0.06458852,,
,,1.672,4425,249.677764,0.06688,266.3762129,0.064738501,,
,,1.676,4425,249.677764,0.06704,266.4161613,0.06488846,,
,,1.68,4417.5,249.2545814,0.0672,266.0044893,0.065038396,,
,,1.684,4410,248.8313987,0.06736,265.5926818,0.06518831,,
,,1.688,4410,248.8313987,0.06752,265.6324948,0.065338201,,
,,1.692,4402.5,248.4082161,0.06768,265.2204842,0.06548807,,
,,1.696,4402.5,248.4082161,0.06784,265.2602295,0.065637917,,
,,1.7,4395,247.9850334,0.068,264.8480157,0.065787741,,
,,1.704,4395,247.9850334,0.06816,264.8876933,0.065937542,,
,,1.708,4387.5,247.5618508,0.06832,264.4752764,0.066087321,,
,,1.712,4387.5,247.5618508,0.06848,264.5148863,0.066237078,,
,,1.716,4380,247.1386681,0.06864,264.1022663,0.066386812,,
,,1.72,4380,247.1386681,0.0688,264.1418085,0.066536524,,
,,1.724,4380,247.1386681,0.06896,264.1813507,0.066686213,,
,,1.728,4372.5,246.7154855,0.06912,263.7684598,0.06683588,,
,,1.732,4372.5,246.7154855,0.06928,263.8079343,0.066985525,,
,,1.736,4365,246.2923028,0.06944,263.3948403,0.067135147,,
,,1.74,4365,246.2923028,0.0696,263.4342471,0.067284747,,
,,1.744,4357.5,245.8691202,0.06976,263.02095,0.067434324,,
,,1.748,4357.5,245.8691202,0.06992,263.0602891,0.067583879,,
,,1.752,4350,245.4459375,0.07008,262.6467888,0.067733412,,
,,1.756,4350,245.4459375,0.07024,262.6860602,0.067882922,,
,,1.76,4342.5,245.0227549,0.0704,262.2723568,0.06803241,,
,,1.764,4335,244.5995722,0.07056,261.858518,0.068181876,,
,,1.768,4335,244.5995722,0.07072,261.897654,0.068331319,,
,,1.772,4335,244.5995722,0.07088,261.9367899,0.06848074,,
,,1.776,4327.5,244.1763896,0.07104,261.5226803,0.068630139,,
,,1.78,4327.5,244.1763896,0.0712,261.5617485,0.068779515,,
,,1.784,4327.5,244.1763896,0.07136,261.6008167,0.068928869,,
,,1.788,4320,243.7532069,0.07152,261.1864363,0.069078201,,
,,1.792,4320,243.7532069,0.07168,261.2254368,0.069227511,,
,,1.796,4312.5,243.3300243,0.07184,260.8108532,0.069376798,,
,,1.8,4305,242.9068416,0.072,260.3961342,0.069526063,,
,,1.804,4305,242.9068416,0.07216,260.4349993,0.069675305,,
,,1.808,4297.5,242.483659,0.07232,260.0200772,0.069824526,,
,,1.812,4297.5,242.483659,0.07248,260.0588746,0.069973724,,
,,1.816,4290,242.0604763,0.07264,259.6437493,0.070122899,,
,,1.82,4290,242.0604763,0.0728,259.682479,0.070272053,,
,,1.824,4282.5,241.6372937,0.07296,259.2671506,0.070421184,,
,,1.828,4282.5,241.6372937,0.07312,259.3058126,0.070570293,,
,,1.832,4275,241.214111,0.07328,258.8902811,0.07071938,,
,,1.836,4275,241.214111,0.07344,258.9288753,0.070868445,,
,,1.84,4267.5,240.7909284,0.0736,258.5131407,0.071017487,,
,,1.844,4260,240.3677457,0.07376,258.0972706,0.071166507,,
,,1.848,4260,240.3677457,0.07392,258.1357295,0.071315505,,
,,1.852,4260,240.3677457,0.07408,258.1741883,0.071464481,,
,,1.856,4252.5,239.9445631,0.07424,257.7580474,0.071613435,,
,,1.86,4252.5,239.9445631,0.0744,257.7964386,0.071762366,,
,,1.864,4245,239.5213804,0.07456,257.3800945,0.071911275,,
,,1.868,4245,239.5213804,0.07472,257.418418,0.072060163,,
,,1.872,4237.5,239.0981978,0.07488,257.0018708,0.072209027,,
,,1.876,4230,238.6750151,0.07504,256.5851883,0.07235787,,
,,1.88,4230,238.6750151,0.0752,256.6233763,0.072506691,,
,,1.884,4230,238.6750151,0.07536,256.6615643,0.072655489,,
,,1.888,4222.5,238.2518325,0.07552,256.2446109,0.072804266,,
,,1.892,4215,237.8286498,0.07568,255.827522,0.07295302,,
,,1.896,4215,237.8286498,0.07584,255.8655746,0.073101752,,
,,1.9,4207.5,237.4054672,0.076,255.4482827,0.073250462,,
,,1.904,4207.5,237.4054672,0.07616,255.4862675,0.07339915,,
,,1.908,4200,236.9822845,0.07632,255.0687725,0.073547815,,
,,1.912,4200,236.9822845,0.07648,255.1066896,0.073696459,,
,,1.916,4200,236.9822845,0.07664,255.1446068,0.07384508,,
,,1.92,4192.5,236.5591019,0.0768,254.7268409,0.07399368,,
,,1.924,4185,236.1359192,0.07696,254.3089396,0.074142257,,
,,1.928,4177.5,235.7127366,0.07712,253.8909028,0.074290813,,
,,1.932,4177.5,235.7127366,0.07728,253.9286168,0.074439346,,
,,1.936,4170,235.2895539,0.07744,253.510377,0.074587857,,
,,1.94,4170,235.2895539,0.0776,253.5480233,0.074736346,,
,,1.944,4170,235.2895539,0.07776,253.5856696,0.074884813,,
,,1.948,4162.5,234.8663713,0.07792,253.1671589,0.075033258,,
,,1.952,4162.5,234.8663713,0.07808,253.2047375,0.075181681,,
,,1.956,4155,234.4431886,0.07824,252.7860237,0.075330082,,
,,1.96,4147.5,234.020006,0.0784,252.3671744,0.075478461,,
,,1.964,4140,233.5968233,0.07856,251.9481897,0.075626818,,
,,1.968,4140,233.5968233,0.07872,251.9855652,0.075775153,,
,,1.972,4140,233.5968233,0.07888,252.0229407,0.075923466,,
,,1.976,4132.5,233.1736407,0.07904,251.6036852,0.076071757,,
,,1.98,4132.5,233.1736407,0.0792,251.640993,0.076220026,,
,,1.984,4125,232.750458,0.07936,251.2215344,0.076368273,,
,,1.988,4125,232.750458,0.07952,251.2587744,0.076516498,,
,,1.992,4117.5,232.3272754,0.07968,250.8391127,0.076664701,,
,,1.996,4110,231.9040927,0.07984,250.4193155,0.076812882,,
,,2,4110,231.9040927,0.08,250.4564201,0.076961041,,
,,2.004,4102.5,231.4809101,0.08016,250.0364198,0.077109178,,
,,2.008,4095,231.0577274,0.08032,249.6162841,0.077257294,,
,,2.012,4095,231.0577274,0.08048,249.6532533,0.077405387,,
,,2.016,4087.5,230.6345448,0.08064,249.2329144,0.077553458,,
,,2.02,4087.5,230.6345448,0.0808,249.269816,0.077701508,,
,,2.024,4087.5,230.6345448,0.08096,249.3067175,0.077849535,,
,,2.028,4080,230.2113621,0.08112,248.8861078,0.077997541,,
,,2.032,4080,230.2113621,0.08128,248.9229416,0.078145525,,
,,2.036,4072.5,229.7881795,0.08144,248.5021288,0.078293486,,
,,2.04,4065,229.3649968,0.0816,248.0811805,0.078441426,,
,,2.044,4065,229.3649968,0.08176,248.1178789,0.078589344,,
,,2.048,4057.5,228.9418141,0.08192,247.6967276,0.078737241,,
,,2.052,4050,228.5186315,0.08208,247.2754408,0.078885115,,
,,2.056,4050,228.5186315,0.08224,247.3120038,0.079032967,,
,,2.06,4042.5,228.0954488,0.0824,246.8905138,0.079180798,,
,,2.064,4042.5,228.0954488,0.08256,246.9270091,0.079328607,,
,,2.068,4035,227.6722662,0.08272,246.5053161,0.079476394,,
,,2.072,4035,227.6722662,0.08288,246.5417436,0.079624159,,
,,2.076,4035,227.6722662,0.08304,246.5781712,0.079771902,,
,,2.08,4027.5,227.2490835,0.0832,246.1562073,0.079919623,,
,,2.084,4020,226.8259009,0.08336,245.734108,0.080067323,,
,,2.088,4012.5,226.4027182,0.08352,245.3118733,0.080215001,,
,,2.092,4012.5,226.4027182,0.08368,245.3480977,0.080362656,,
,,2.096,4005,225.9795356,0.08384,244.9256599,0.080510291,,
,,2.1,4005,225.9795356,0.084,244.9618166,0.080657903,,
,,2.104,3997.5,225.5563529,0.08416,244.5391756,0.080805494,,
,,2.108,3997.5,225.5563529,0.08432,244.5752646,0.080953062,,
,,2.112,3990,225.1331703,0.08448,244.1524205,0.081100609,,
,,2.116,3990,225.1331703,0.08464,244.1884418,0.081248135,,
,,2.12,3982.5,224.7099876,0.0848,243.7653946,0.081395638,,
,,2.124,3975,224.286805,0.08496,243.3422119,0.08154312,,
,,2.128,3975,224.286805,0.08512,243.3780978,0.08169058,,
,,2.132,3967.5,223.8636223,0.08528,242.9547121,0.081838018,,
,,2.136,3967.5,223.8636223,0.08544,242.9905302,0.081985435,,
,,2.14,3960,223.4404397,0.0856,242.5669413,0.08213283,,
,,2.144,3960,223.4404397,0.08576,242.6026918,0.082280203,,
,,2.148,3952.5,223.017257,0.08592,242.1788998,0.082427554,,
,,2.152,3952.5,223.017257,0.08608,242.2145825,0.082574884,,
,,2.156,3945,222.5940744,0.08624,241.7905874,0.082722192,,
,,2.16,3937.5,222.1708917,0.0864,241.3664568,0.082869478,,
,,2.164,3930,221.7477091,0.08656,240.9421908,0.083016742,,
,,2.168,3930,221.7477091,0.08672,240.9776704,0.083163985,,
,,2.172,3922.5,221.3245264,0.08688,240.5532013,0.083311206,,
,,2.176,3922.5,221.3245264,0.08704,240.5886132,0.083458406,,
,,2.18,3915,220.9013438,0.0872,240.163941,0.083605584,,
,,2.184,3915,220.9013438,0.08736,240.1992852,0.08375274,,
,,2.188,3907.5,220.4781611,0.08752,239.7744098,0.083899875,,
,,2.192,3907.5,220.4781611,0.08768,239.8096863,0.084046988,,
,,2.196,3900,220.0549785,0.08784,239.3846078,0.084194079,,
,,2.2,3892.5,219.6317958,0.088,238.9593939,0.084341148,,
,,2.204,3885,219.2086132,0.08816,238.5340445,0.084488196,,
,,2.208,3885,219.2086132,0.08832,238.5691179,0.084635223,,
,,2.212,3877.5,218.7854305,0.08848,238.1435654,0.084782228,,
,,2.216,3877.5,218.7854305,0.08864,238.1785711,0.084929211,,
,,2.22,3870,218.3622479,0.0888,237.7528155,0.085076172,,
,,2.224,3870,218.3622479,0.08896,237.7877534,0.085223112,,
,,2.228,3862.5,217.9390652,0.08912,237.3617947,0.085370031,,
,,2.232,3862.5,217.9390652,0.08928,237.396665,0.085516928,,
,,2.236,3855,217.5158826,0.08944,236.9705031,0.085663803,,
,,2.24,3847.5,217.0926999,0.0896,236.5442058,0.085810656,,
,,2.244,3840,216.6695173,0.08976,236.1177731,0.085957489,,
,,2.248,3840,216.6695173,0.08992,236.1524403,0.086104299,,
,,2.252,3832.5,216.2463346,0.09008,235.7258044,0.086251088,,
,,2.256,3832.5,216.2463346,0.09024,235.7604039,0.086397855,,
,,2.26,3825,215.823152,0.0904,235.3335649,0.086544601,,
,,2.264,3825,215.823152,0.09056,235.3680966,0.086691326,,
,,2.268,3817.5,215.3999693,0.09072,234.9410545,0.086838029,,
,,2.272,3817.5,215.3999693,0.09088,234.9755185,0.08698471,,
,,2.276,3810,214.9767867,0.09104,234.5482733,0.08713137,,
,,2.28,3802.5,214.553604,0.0912,234.1208927,0.087278008,,
,,2.284,3795,214.1304214,0.09136,233.6933767,0.087424625,,
,,2.288,3795,214.1304214,0.09152,233.7276375,0.08757122,,
,,2.292,3787.5,213.7072387,0.09168,233.2999184,0.087717794,,
,,2.296,3787.5,213.7072387,0.09184,233.3341115,0.087864346,,
,,2.3,3780,213.2840561,0.092,232.9061892,0.088010877,,
,,2.304,3780,213.2840561,0.09216,232.9403147,0.088157387,,
,,2.308,3772.5,212.8608734,0.09232,232.5121892,0.088303875,,
,,2.312,3772.5,212.8608734,0.09248,232.546247,0.088450341,,
,,2.316,3765,212.4376908,0.09264,232.1179184,0.088596786,,
,,2.32,3757.5,212.0145081,0.0928,231.6894545,0.08874321,,
,,2.324,3750,211.5913255,0.09296,231.2608551,0.088889612,,
,,2.328,3742.5,211.1681428,0.09312,230.8321203,0.089035993,,
,,2.332,3742.5,211.1681428,0.09328,230.8659072,0.089182352,,
,,2.336,3735,210.7449602,0.09344,230.4369692,0.08932869,,
,,2.34,3735,210.7449602,0.0936,230.4706884,0.089475006,,
,,2.344,3735,210.7449602,0.09376,230.5044076,0.089621302,,
,,2.348,3727.5,210.3217775,0.09392,230.0751989,0.089767575,,
,,2.352,3727.5,210.3217775,0.09408,230.1088503,0.089913827,,
,,2.356,3720,209.8985949,0.09424,229.6794384,0.090060058,,
,,2.36,3705,209.0522296,0.0944,228.78676,0.090206268,,
,,2.364,3705,209.0522296,0.09456,228.8202084,0.090352456,,
,,2.368,3697.5,208.6290469,0.09472,228.3903902,0.090498623,,
,,2.372,3690,208.2058643,0.09488,227.9604367,0.090644768,,
,,2.376,3690,208.2058643,0.09504,227.9937496,0.090790892,,
,,2.38,3682.5,207.7826816,0.0952,227.5635929,0.090936995,,
,,2.384,3682.5,207.7826816,0.09536,227.5968381,0.091083076,,
,,2.388,3675,207.359499,0.09552,227.1664783,0.091229136,,
,,2.392,3675,207.359499,0.09568,227.1996558,0.091375175,,
,,2.396,3667.5,206.9363163,0.09584,226.7690929,0.091521192,,
,,2.4,3660,206.5131336,0.096,226.3383945,0.091667189,,
,,2.404,3660,206.5131336,0.09616,226.3714366,0.091813163,,
,,2.408,3652.5,206.089951,0.09632,225.9405351,0.091959117,,
,,2.412,3645,205.6667683,0.09648,225.5094982,0.092105049,,
,,2.416,3645,205.6667683,0.09664,225.5424048,0.09225096,,
,,2.42,3637.5,205.2435857,0.0968,225.1111648,0.092396849,,
,,2.424,3630,204.820403,0.09696,224.6797893,0.092542718,,
,,2.428,3630,204.820403,0.09712,224.7125606,0.092688565,,
,,2.432,3622.5,204.3972204,0.09728,224.280982,0.09283439,,
,,2.436,3615,203.9740377,0.09744,223.849268,0.092980195,,
,,2.44,3615,203.9740377,0.0976,223.8819038,0.093125978,,
,,2.444,3607.5,203.5508551,0.09776,223.4499867,0.09327174,,
,,2.448,3600,203.1276724,0.09792,223.0179341,0.093417481,,
,,2.452,3592.5,202.7044898,0.09808,222.5857462,0.0935632,,
,,2.456,3592.5,202.7044898,0.09824,222.6181789,0.093708898,,
,,2.46,3585,202.2813071,0.0984,222.1857878,0.093854575,,
,,2.464,3585,202.2813071,0.09856,222.2181528,0.094000231,,
,,2.468,3577.5,201.8581245,0.09872,221.7855585,0.094145866,,
,,2.472,3577.5,201.8581245,0.09888,221.8178558,0.094291479,,
,,2.476,3570,201.4349418,0.09904,221.3850585,0.094437071,,
,,2.48,3562.5,201.0117592,0.0992,220.9521257,0.094582642,,
,,2.484,3555,200.5885765,0.09936,220.5190575,0.094728192,,
,,2.488,3555,200.5885765,0.09952,220.5511517,0.094873721,,
,,2.492,3547.5,200.1653939,0.09968,220.1178803,0.095019228,,
,,2.496,3547.5,200.1653939,0.09984,220.1499068,0.095164715,,
,,2.5,3540,199.7422112,0.1,219.7164324,0.09531018,,
,,2.504,3532.5,199.3190286,0.10016,219.2828225,0.095455624,,
,,2.508,3532.5,199.3190286,0.10032,219.3147135,0.095601047,,
,,2.512,3525,198.8958459,0.10048,218.8809005,0.095746448,,
,,2.516,3517.5,198.4726633,0.10064,218.4469521,0.095891829,,
,,2.52,3510,198.0494806,0.1008,218.0128683,0.096037188,,
,,2.524,3510,198.0494806,0.10096,218.0445562,0.096182526,,
,,2.528,3502.5,197.626298,0.10112,217.6102692,0.096327844,,
,,2.532,3495,197.2031153,0.10128,217.1758469,0.09647314,,
,,2.536,3495,197.2031153,0.10144,217.2073993,0.096618415,,
,,2.54,3487.5,196.7799327,0.1016,216.7727738,0.096763668,,
,,2.544,3480,196.35675,0.10176,216.3380129,0.096908901,,
,,2.548,3480,196.35675,0.10192,216.36943,0.097054113,,
,,2.552,3472.5,195.9335674,0.10208,215.9344659,0.097199303,,
,,2.556,3465,195.5103847,0.10224,215.4993665,0.097344473,,
,,2.56,3465,195.5103847,0.1024,215.5306481,0.097489621,,
,,2.564,3457.5,195.0872021,0.10256,215.0953455,0.097634749,,
,,2.568,3450,194.6640194,0.10272,214.6599075,0.097779855,,
,,2.572,3442.5,194.2408368,0.10288,214.2243341,0.09792494,,
,,2.576,3442.5,194.2408368,0.10304,214.2554126,0.098070004,,
,,2.58,3435,193.8176541,0.1032,213.819636,0.098215047,,
,,2.584,3427.5,193.3944715,0.10336,213.383724,0.09836007,,
,,2.588,3427.5,193.3944715,0.10352,213.4146672,0.098505071,,
,,2.592,3420,192.9712888,0.10368,212.978552,0.098650051,,
,,2.596,3420,192.9712888,0.10384,213.0094275,0.09879501,,
,,2.6,3412.5,192.5481062,0.104,212.5731092,0.098939948,,
,,2.604,3405,192.1249235,0.10416,212.1366556,0.099084865,,
,,2.608,3397.5,191.7017409,0.10432,211.7000665,0.099229761,,
,,2.612,3390,191.2785582,0.10448,211.263342,0.099374636,,
,,2.616,3390,191.2785582,0.10464,211.2939465,0.09951949,,
,,2.62,3382.5,190.8553756,0.1048,210.8570189,0.099664323,,
,,2.624,3382.5,190.8553756,0.10496,210.8875558,0.099809135,,
,,2.628,3375,190.4321929,0.10512,210.450425,0.099953926,,
,,2.632,3375,190.4321929,0.10528,210.4808942,0.100098697,,
,,2.636,3360,189.5858276,0.10544,209.5757573,0.100243446,,
,,2.64,3352.5,189.162645,0.1056,209.1382203,0.100388174,,
,,2.644,3345,188.7394623,0.10576,208.7005478,0.100532881,,
,,2.648,3345,188.7394623,0.10592,208.7307462,0.100677568,,
,,2.652,3337.5,188.3162797,0.10608,208.2928706,0.100822233,,
,,2.656,3337.5,188.3162797,0.10624,208.3230012,0.100966878,,
,,2.66,3330,187.893097,0.1064,207.8849225,0.101111501,,
,,2.664,3322.5,187.4699144,0.10656,207.4467084,0.101256104,,
,,2.668,3322.5,187.4699144,0.10672,207.4767036,0.101400686,,
,,2.672,3315,187.0467317,0.10688,207.0382864,0.101545247,,
,,2.676,3307.5,186.6235491,0.10704,206.5997337,0.101689787,,
,,2.68,3300,186.2003664,0.1072,206.1610457,0.101834306,,
,,2.684,3300,186.2003664,0.10736,206.1908377,0.101978804,,
,,2.688,3292.5,185.7771838,0.10752,205.7519466,0.102123281,,
,,2.692,3285,185.3540011,0.10768,205.3129199,0.102267738,,
,,2.696,3285,185.3540011,0.10784,205.3425766,0.102412174,,
,,2.7,3277.5,184.9308185,0.108,204.9033468,0.102556588,,
,,2.704,3270,184.5076358,0.10816,204.4639817,0.102700982,,
,,2.708,3270,184.5076358,0.10832,204.4935029,0.102845355,,
,,2.712,3262.5,184.0844532,0.10848,204.0539346,0.102989708,,
,,2.716,3255,183.6612705,0.10864,203.6142309,0.103134039,,
,,2.72,3247.5,183.2380878,0.1088,203.1743918,0.103278349,,
,,2.724,3240,182.8149052,0.10896,202.7344173,0.103422639,,
,,2.728,3240,182.8149052,0.10912,202.7636677,0.103566908,,
,,2.732,3232.5,182.3917225,0.10928,202.32349,0.103711156,,
,,2.736,3225,181.9685399,0.10944,201.8831769,0.103855384,,
,,2.74,3217.5,181.5453572,0.1096,201.4427284,0.10399959,,
,,2.744,3217.5,181.5453572,0.10976,201.4717757,0.104143776,,
,,2.748,3210,181.1221746,0.10992,201.031124,0.104287941,,
,,2.752,3210,181.1221746,0.11008,201.0601036,0.104432085,,
,,2.756,3202.5,180.6989919,0.11024,200.6192488,0.104576208,,
,,2.76,3195,180.2758093,0.1104,200.1782586,0.104720311,,
,,2.764,3187.5,179.8526266,0.11056,199.737133,0.104864393,,
,,2.768,3180,179.429444,0.11072,199.295872,0.105008454,,
,,2.772,3172.5,179.0062613,0.11088,198.8544756,0.105152494,,
,,2.776,3172.5,179.0062613,0.11104,198.8831166,0.105296514,,
,,2.78,3165,178.5830787,0.1112,198.441517,0.105440512,,
,,2.784,3157.5,178.159896,0.11136,197.9997821,0.105584491,,
,,2.788,3157.5,178.159896,0.11152,198.0282876,0.105728448,,
,,2.792,3150,177.7367134,0.11168,197.5863495,0.105872385,,
,,2.796,3142.5,177.3135307,0.11184,197.144276,0.106016301,,
,,2.8,3135,176.8903481,0.112,196.7020671,0.106160196,,
,,2.804,3135,176.8903481,0.11216,196.7303695,0.10630407,,
,,2.808,3127.5,176.4671654,0.11232,196.2879575,0.106447924,,
,,2.812,3120,176.0439828,0.11248,195.84541,0.106591757,,
,,2.816,3120,176.0439828,0.11264,195.873577,0.10673557,,
,,2.82,3112.5,175.6208001,0.1128,195.4308264,0.106879362,,
,,2.824,3105,175.1976175,0.11296,194.9879404,0.107023133,,
,,2.828,3105,175.1976175,0.11312,195.015972,0.107166883,,
,,2.832,3097.5,174.7744348,0.11328,194.5728828,0.107310613,,
,,2.836,3090,174.3512522,0.11344,194.1296582,0.107454322,,
,,2.84,3082.5,173.9280695,0.1136,193.6862982,0.107598011,,
,,2.844,3075,173.5048869,0.11376,193.2428028,0.107741678,,
,,2.848,3067.5,173.0817042,0.11392,192.799172,0.107885326,,
,,2.852,3060,172.6585216,0.11408,192.3554057,0.108028952,,
,,2.856,3060,172.6585216,0.11424,192.3830311,0.108172558,,
,,2.86,3052.5,172.2353389,0.1144,191.9390617,0.108316143,,
,,2.864,3052.5,172.2353389,0.11456,191.9666194,0.108459708,,
,,2.868,3045,171.8121563,0.11472,191.5224468,0.108603252,,
,,2.872,3045,171.8121563,0.11488,191.5499368,0.108746776,,
,,2.876,3030,170.965791,0.11504,190.6336956,0.108890279,,
,,2.88,3022.5,170.5426083,0.1152,190.1891168,0.109033761,,
,,2.884,3015,170.1194257,0.11536,189.7444026,0.109177223,,
,,2.888,3007.5,169.696243,0.11552,189.299553,0.109320664,,
,,2.892,3000,169.2730604,0.11568,188.854568,0.109464084,,
,,2.896,3000,169.2730604,0.11584,188.8816517,0.109607485,,
