Results for:,COPPER,Extension mm,Force N,eng_Stress,eng_Strain,True_stress,True_strain,log sigma,log strain
Curves for Specimen No:,1,,,,,,,,
Curve No:,1,0,0,0,0,0,0,,
,,0.288,1725,97.33200971,0.01152,98.45327446,0.01145415,99.58097304,0.011389048
,,0.292,1762.5,99.44792297,0.01168,100.6094747,0.011612315,101.7777837,0.01154541
,,0.296,1807.5,101.9870189,0.01184,103.1945452,0.011770456,104.409192,0.011701723
,,0.3,1845,104.1029321,0.012,105.3521673,0.011928571,106.6088681,0.011857986
,,0.304,1875,105.7956627,0.01216,107.082138,0.012086661,108.3764035,0.012014201
,,0.308,1905,107.4883933,0.01232,108.8126503,0.012244726,110.1450315,0.012170366
,,0.312,1935,109.1811239,0.01248,110.5437044,0.012402767,111.9147521,0.012326483
,,0.316,1995,112.5665851,0.01264,113.9894268,0.012560782,115.4212231,0.01248255
,,0.32,2055,115.9520464,0.0128,117.4362325,0.012718772,118.9298773,0.012638568
,,0.324,2100,118.4911423,0.01296,120.0267875,0.012876738,121.5723409,0.012794538
,,0.328,2152.5,121.4534208,0.01312,123.0468897,0.013034678,124.6507663,0.012950458
,,0.332,2190,123.5693341,0.01328,125.2103348,0.013192594,126.8621839,0.013106329
,,0.336,2235,126.10843,0.01344,127.8033273,0.013350484,129.5095636,0.013262152
,,0.34,2272.5,128.2243432,0.0136,129.9681943,0.01350835,131.7238502,0.013417926
,,0.344,2310,130.3402565,0.01376,132.1337384,0.013666191,133.9395033,0.013573651
,,0.348,2340,132.0329871,0.01392,133.8708863,0.013824007,135.7215183,0.013729327
,,0.352,2377.5,134.1489003,0.01408,136.0377169,0.013981798,137.9397687,0.013884954
,,0.356,2437.5,137.5343615,0.01424,139.4928509,0.014139564,141.4652189,0.014040532
,,0.36,2497.5,140.9198228,0.0144,142.9490682,0.014297305,144.9928546,0.014196062
,,0.364,2542.5,143.4589187,0.01456,145.5476805,0.014455021,147.6515753,0.014351543
,,0.368,2587.5,145.9980146,0.01472,148.1471053,0.014612712,150.3119364,0.014506976
,,0.372,2632.5,148.5371105,0.01488,150.7473427,0.014770379,152.973938,0.014662359
,,0.376,2670,150.6530237,0.01504,152.9188452,0.014928021,155.2016209,0.014817694
,,0.38,2715,153.1921196,0.0152,155.5206399,0.015085637,157.8667678,0.014972981
,,0.384,2745,154.8848502,0.01536,157.2638815,0.015243229,159.661091,0.015128219
,,0.388,2775,156.5775808,0.01552,159.0076649,0.015400797,161.4565096,0.015283408
,,0.392,2805,158.2703114,0.01568,160.7519899,0.015558339,163.2530239,0.015438549
,,0.396,2865,161.6557727,0.01584,164.2164001,0.015715856,166.7972015,0.015593641
,,0.4,2925,165.0412339,0.016,167.6818936,0.015873349,170.3435668,0.015748685
,,0.404,2977.5,168.0035124,0.01616,170.7184492,0.016030817,173.4552054,0.01590368
,,0.408,3030,170.965791,0.01632,173.7559527,0.01618826,176.5687593,0.016058627
,,0.412,3067.5,173.0817042,0.01648,175.9340907,0.016345679,178.8098528,0.016213526
,,0.416,3112.5,175.6208001,0.01664,178.5431302,0.016503072,181.4896404,0.016368376
,,0.42,3150,177.7367134,0.0168,180.7226902,0.016660441,183.7336099,0.016523178
,,0.424,3180,179.429444,0.01696,182.4725674,0.016817785,185.5413518,0.016677932
,,0.428,3217.5,181.5453572,0.01712,184.6534138,0.016975104,187.7879247,0.016832637
,,0.432,3247.5,183.2380878,0.01728,186.404442,0.017132399,189.5979972,0.016987294
,,0.436,3307.5,186.6235491,0.01744,189.8782638,0.017289669,193.161196,0.017141903
,,0.44,3367.5,190.0090103,0.0176,193.3531688,0.017446914,196.7265849,0.017296464
,,0.444,3412.5,192.5481062,0.01776,195.9677605,0.017604134,199.4176032,0.017450976
,,0.448,3457.5,195.0872021,0.01792,198.5831647,0.01776133,202.1102658,0.01760544
,,0.452,3502.5,197.626298,0.01808,201.1993814,0.017918501,204.8045727,0.017759856
,,0.456,3540,199.7422112,0.01824,203.3855092,0.018075647,207.0618338,0.017914225
,,0.46,3585,202.2813071,0.0184,206.0032832,0.018232768,209.7592933,0.018068545
,,0.464,3615,203.9740377,0.01856,207.7597959,0.018389865,211.5804705,0.018222816
,,0.468,3645,205.6667683,0.01872,209.5168503,0.018546937,213.4027461,0.01837704
,,0.472,3675,207.359499,0.01888,211.2744463,0.018703985,215.2261203,0.018531216
,,0.476,3735,210.7449602,0.01904,214.7575442,0.018861008,218.8080879,0.018685344
,,0.48,3802.5,214.553604,0.0192,218.6730332,0.019018006,222.8317582,0.018839424
,,0.484,3847.5,217.0926999,0.01936,221.2956146,0.019174979,225.5389534,0.018993456
,,0.488,3892.5,219.6317958,0.01952,223.9190085,0.019331928,228.2477947,0.01914744
,,0.492,3930,221.7477091,0.01968,226.111704,0.019488853,230.5183617,0.019301377
,,0.496,3975,224.286805,0.01984,228.7366552,0.019645752,233.2303589,0.019455265
,,0.5,4012.5,226.4027182,0.02,230.9307726,0.019802627,235.5038086,0.019609106
,,0.504,4042.5,228.0954488,0.02016,232.6938531,0.019959478,237.3383009,0.019762899
,,0.508,4080,230.2113621,0.02032,234.889257,0.020116304,239.6143606,0.019916644
,,0.512,4110,231.9040927,0.02048,236.6534885,0.020273105,241.4511895,0.020070341
,,0.516,4162.5,234.8663713,0.02064,239.7140132,0.020429882,244.6113421,0.020223991
,,0.52,4215,237.8286498,0.0208,242.7754857,0.020586634,247.7734157,0.020377593
,,0.524,4260,240.3677457,0.02096,245.4058537,0.020743361,250.4963959,0.020531147
